song title,artist/band name,year,lyrics url
Straighten My Mind,"Jennings, Waylon",1969,https://www.azlyrics.com/lyrics/waylonjennings/straightenmymind.html
Fireside Song,Genesis,1969,https://www.azlyrics.com/lyrics/genesis/firesidesong.html
To Know You Is To Love You,"Vinton, Bobby",1969,https://www.azlyrics.com/lyrics/bobbyvinton/toknowyouistoloveyou.html
Give Your Love,"Wonder, Stevie",1969,https://www.azlyrics.com/lyrics/steviewonder/giveyourlove.html
I'm In Love With You,"Arnold, Eddy",1969,https://www.azlyrics.com/lyrics/eddyarnold/iminlovewithyou.html
When The Battle Is Over,"Franklin, Aretha",1970,https://www.azlyrics.com/lyrics/arethafranklin/whenthebattleisover.html
Song For The Asking,Simon & Garfunkel,1970,https://www.azlyrics.com/lyrics/simongarfunkel/songfortheasking.html
Spring Song,"Cockburn, Bruce",1970,https://www.azlyrics.com/lyrics/brucecockburn/springsong.html
The Highway Song,Free,1970,https://www.azlyrics.com/lyrics/free/thehighwaysong.html
Something To Brag About,"Jones, George",1971,https://www.azlyrics.com/lyrics/georgejones/somethingtobragabout.html
Winter Wonderland,Elvis Presley,1971,https://www.azlyrics.com/lyrics/elvispresley/winterwonderland.html
Rose Garden,Loretta Lynn,1971,https://www.azlyrics.com/lyrics/lorettalynn/rosegarden.html
Houdini Said,"O'Sullivan, Gilbert",1971,https://www.azlyrics.com/lyrics/gilbertosullivan/houdinisaid.html
Me And Bobby McGee,Loretta Lynn,1971,https://www.azlyrics.com/lyrics/lorettalynn/meandbobbymcgee.html
Bluebird Revisited,Stephen Stills,1971,https://www.azlyrics.com/lyrics/stephenstills/bluebirdrevisited.html
End Of The Line,"Roussos, Demis",1971,https://www.azlyrics.com/lyrics/demisroussos/endoftheline.html
Two Little Boys,"Rogers, Kenny",1971,https://www.azlyrics.com/lyrics/kennyrogers/twolittleboys.html
Frisco Depot (San Francisco Depot),"Jennings, Waylon",1972,https://www.azlyrics.com/lyrics/waylonjennings/friscodepotsanfranciscodepot.html
The Shining Sea,Tony Bennett,1972,https://www.azlyrics.com/lyrics/tonybennett/theshiningsea.html
I Think I Can Hear You,"King, Carole",1972,https://www.azlyrics.com/lyrics/caroleking/ithinkicanhearyou.html
Promise Of A Fisherman (Promessa De Pescador),"Mendes, Sergio",1972,https://www.azlyrics.com/lyrics/sergiomendes/promiseofafishermanpromessadepescador.html
Filha De Jesus,Chitãozinho & Xororó,1972,https://www.azlyrics.com/lyrics/chitaozinhoxororo/filhadejesus.html
One Way Out,"Allman Brothers Band, The",1972,https://www.azlyrics.com/lyrics/allmanbrothersband/onewayout.html
Little Bit Of Love,"Grass Roots, The",1973,https://www.azlyrics.com/lyrics/grassroots/littlebitoflove.html
Ride Me Down Easy,Waylon Jennings,1973,https://www.azlyrics.com/lyrics/waylonjennings/ridemedowneasy.html
Daydreamer,David Cassidy,1973,https://www.azlyrics.com/lyrics/davidcassidy/daydreamer.html
Race The Breeze,"Gallagher, Rory",1973,https://www.azlyrics.com/lyrics/rorygallagher/racethebreeze.html
Where Have All The Good Times Gone,"Bowie, David",1973,https://www.azlyrics.com/lyrics/davidbowie/wherehaveallthegoodtimesgone.html
Mainline Florida,Eric Clapton,1974,https://www.azlyrics.com/lyrics/ericclapton/mainlineflorida.html
Rollercoaster,Showaddywaddy,1974,https://www.azlyrics.com/lyrics/showaddywaddy/rollercoaster.html
Mind Games,John Lennon,1975,https://www.azlyrics.com/lyrics/johnlennon/mindgames.html
